county1,New Booster Doses - All Programs12Plus,New Booster Doses - All Programs5Plus,New Booster Doses - All Programs65Plus,New Booster Doses - All Programs18Plus,New Booster Doses- All Programs,Bivalent NC Dose - 5 Plus,Bivalent NC Dose - 12 Plus,Bivalent NC Dose - 18 Plus,Bivalent NC Dose - 65 Plus,Bivalent NC Dose,Bivalent LTC Dose,Bivalent LTC Dose  - 5 Plus,Bivalent LTC Dose  - 12 Plus,Bivalent LTC Dose  - 18 Plus,Bivalent LTC Dose  - 65 Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county-1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
CHEROKEE COUNTY,1148,1148,770,1143,1148,868,868,863,608,868,280,280,280,280,162,4696,5022,2304,5019,5011,4967,3281,2304,2304,2299,1360,2304,5022,7369,7418,7426,7467,14031,6517,12800,13081,13301,6761,13614,13912,14150,Cherokee,103,103,103,55,141,7323,7315,7266,4641,613,439,27420,613,439,717,613,234,541,439,185,23877,8723,28612,25640,CHEROKEE COUNTY,7326,2892,917,2914,2911,2914,10519,10504,10388,5610,10109,2614,2631,2631,2631,857,10011,10113,10129,5475,9747
CHOWAN COUNTY,507,507,346,505,507,306,306,305,215,306,201,201,201,200,131,2721,3086,1679,3082,3074,3039,1828,1679,1679,1656,893,1679,3086,4695,4753,4761,4780,8760,3213,7482,7810,7973,3553,8299,8643,8847,Chowan,0,0,0,0,15,4761,4753,4695,2721,174,66,13243,174,66,246,174,67,125,66,10,11164,3521,13943,12171,CHOWAN COUNTY,4765,1734,427,1840,1835,1840,6761,6746,6634,3059,6391,1682,1783,1783,1780,459,5964,6063,6065,2744,5734
ORANGE COUNTY,14830,14831,5655,13860,14833,5241,5240,4640,1779,5243,9590,9590,9590,9220,3876,26839,41770,48471,41750,39485,36744,11149,48469,47902,46015,15661,48471,41770,82811,87439,90271,90330,118224,24192,99422,107610,115905,24629,102426,110828,120423,Orange,52,52,52,29,89,90219,87387,82759,26810,1405,857,142010,1405,857,1528,1405,462,948,857,351,119925,21654,148476,130842,ORANGE COUNTY,90241,23543,3402,26588,25561,26437,92307,90382,83862,20765,77478,23450,26524,26448,25474,3515,81279,87347,88433,20326,75115
ALEXANDER COUNTY,1058,1058,691,1039,1058,733,733,721,487,733,325,325,325,318,204,4376,6347,2824,6347,6312,6221,3027,2824,2820,2771,1349,2824,6347,9003,9143,9182,9218,17885,6002,16121,16667,17013,6258,17056,17632,18013,Alexander,11,11,11,0,47,9171,9132,8992,4376,392,204,35620,392,204,496,392,162,303,204,74,30040,7667,37497,32781,ALEXANDER COUNTY,9171,2806,415,3058,3003,3056,14459,14437,14237,5681,13858,2616,2857,2857,2799,395,13664,13848,13853,5533,13301
DURHAM COUNTY,24010,24010,8985,23170,24015,8797,8797,8353,3045,8802,15213,15213,15213,14817,5940,45380,83887,81975,83880,81296,78074,20321,81975,80978,78661,24871,81975,83887,157230,162769,166350,166414,244758,44182,208127,221384,234546,45596,218708,232640,249135,Durham,495,495,495,188,552,165855,162274,156735,45192,8383,5492,301307,8358,5479,8458,8285,2203,5559,5434,1568,255829,43764,321488,275950,DURHAM COUNTY,165862,53745,6390,61329,58444,61010,179348,175365,165838,37003,156678,52437,59803,59713,57078,6397,158827,167320,169184,36217,150256
HENDERSON COUNTY,8044,8044,5598,7945,8044,5219,5219,5142,3669,5219,2825,2825,2825,2803,1929,24097,27848,17702,27823,27550,26885,14597,17702,17643,17364,9465,17702,27848,44300,45244,45576,45641,72842,27575,65112,68084,70024,28142,67762,70901,73173,Henderson,51,51,51,35,91,45525,45193,44249,24062,1725,996,111764,1725,996,1776,1725,1048,1077,996,768,95451,30961,117417,103234,HENDERSON COUNTY,45550,13885,4194,15119,14725,15108,56278,56009,54451,22900,52152,13316,14512,14505,14143,4159,52945,54384,54435,22648,50800
PASQUOTANK COUNTY,929,929,556,905,929,308,308,290,142,308,621,621,621,615,414,5259,6577,4540,6575,6517,6361,3068,4540,4538,4489,2191,4540,6577,10850,11055,11115,11132,23180,6911,19801,20703,21275,7469,21605,22570,23272,Pasquotank,0,0,0,0,15,11115,11055,10850,5259,36,0,37393,36,0,52,36,24,21,0,0,31068,6841,39824,34029,PASQUOTANK COUNTY,11117,5520,1049,5830,5749,5827,17390,17317,16785,6396,16049,5217,5496,5494,5424,990,15279,15744,15758,5921,14584
PAMLICO COUNTY,393,393,282,391,393,261,261,260,180,261,132,132,132,131,102,2720,2929,1480,2929,2916,2875,1795,1480,1478,1474,925,1480,2929,4349,4394,4409,4446,7356,3318,6764,6933,7059,3400,7069,7263,7426,Pamlico,0,0,0,0,37,4409,4394,4349,2720,180,127,12261,180,127,238,180,92,174,127,74,10805,3866,12726,11540,PAMLICO COUNTY,4409,1227,300,1324,1301,1324,5864,5852,5782,3008,5662,1166,1248,1248,1229,297,5577,5634,5637,2947,5471
MITCHELL COUNTY,497,497,307,494,497,446,446,444,282,446,51,51,51,50,25,1902,3113,818,3113,3104,3064,1503,818,818,799,399,818,3113,3863,3922,3931,3931,7836,2892,6979,7198,7312,3033,7487,7725,7867,Mitchell,,,,,,3931,3922,3863,1902,109,52,14242,109,52,124,109,77,75,52,52,12229,3810,14964,13195,MITCHELL COUNTY,3931,1160,291,1297,1286,1297,6446,6430,6330,2665,6218,1037,1164,1164,1156,245,5990,6069,6073,2595,5890
CURRITUCK COUNTY,518,518,355,514,518,255,255,251,187,255,263,263,263,263,168,2786,3607,1956,3607,3592,3549,1821,1956,1954,1932,965,1956,3607,5557,5622,5639,5676,13699,4391,11635,12024,12268,5000,13077,13494,13758,Currituck,76,76,76,0,113,5563,5546,5481,2786,1049,652,26216,1005,624,1088,902,144,703,543,41,21675,4551,27763,23787,CURRITUCK COUNTY,5563,2093,415,2243,2197,2243,10427,10407,10292,4441,10082,1979,2119,2119,2073,412,9327,9440,9446,3938,9113
BRUNSWICK COUNTY,9151,9151,7061,9115,9151,3958,3958,3945,3168,3958,5193,5193,5193,5170,3893,44375,25068,42595,25065,24995,24771,16776,42593,42500,42118,27487,42595,25068,67144,67750,67913,67965,94893,44808,86699,89270,90670,45980,90632,93445,95051,Brunswick,255,255,255,112,302,67658,67495,66889,44263,3004,2028,137478,2993,2028,3027,2967,1718,2071,2028,1274,121795,46605,142820,129086,BRUNSWICK COUNTY,67663,23592,7026,25924,25150,25909,66100,65980,65302,37236,64073,22721,24912,24909,24205,7227,63037,63635,63687,36307,61950
DAVIDSON COUNTY,4676,4676,2801,4584,4676,2145,2145,2093,1363,2145,2531,2531,2531,2491,1438,21343,22049,23186,22046,21863,21346,11002,23186,23141,22779,10173,23186,22049,44411,45290,45518,45579,88682,26389,77069,80872,82713,27176,82350,86605,88977,Davidson,286,286,286,168,344,45232,45004,44125,21175,2165,1397,158409,2153,1397,2237,2099,1053,1444,1359,760,131285,31089,167609,144432,DAVIDSON COUNTY,45235,24974,4924,27063,26539,27049,59677,59468,57913,21199,55277,23736,25635,25634,25175,4917,54300,55581,55634,20712,51974
FRANKLIN COUNTY,2125,2127,1158,2071,2127,688,686,656,361,688,1439,1439,1439,1415,797,9446,8817,13304,8813,8710,8497,3780,13303,13256,12959,5631,13304,8817,21550,22060,22210,22293,40624,11002,35073,37176,38350,11332,37099,39395,40899,Franklin,94,94,94,35,172,22116,21966,21456,9411,1377,831,65799,1359,831,1463,1276,487,880,778,298,54524,11935,69685,59978,FRANKLIN COUNTY,22121,12780,2175,14583,14078,14555,24853,24692,23958,8670,23043,12226,13919,13919,13471,2189,22874,23515,23551,8515,22069
DARE COUNTY,2055,2055,1408,2041,2055,980,980,974,703,980,1075,1075,1075,1067,705,8112,7290,8860,7287,7254,7136,4105,8860,8850,8709,4007,8860,7290,15845,16104,16147,16177,28295,9707,25459,26523,27204,10029,26539,27662,28414,Dare,0,0,0,0,27,16147,16104,15845,8112,325,124,35367,325,124,385,325,122,196,124,0,30088,8201,37009,32745,DARE COUNTY,16150,5336,720,6065,5794,6057,21964,21913,21543,9187,20878,5019,5747,5742,5486,701,20913,21238,21261,9006,20316
NEW HANOVER COUNTY,12301,12302,7361,12103,12302,5685,5684,5631,3741,5685,6617,6617,6617,6472,3620,41886,37042,59548,37027,36734,35928,17252,59548,59146,57683,24462,59548,37042,94041,96310,97005,97056,157934,42518,138449,145976,150815,43618,144951,153042,158638,New Hanover,430,430,430,172,466,96575,95880,93611,41714,3366,2124,223363,3341,2113,3430,3260,1407,2165,2059,994,191812,43147,234473,206724,NEW HANOVER COUNTY,96590,45661,6806,52770,50219,52668,102438,101900,99482,35405,96030,43862,50801,50798,48408,6767,95455,97530,97849,34757,92528
BLADEN COUNTY,547,547,374,539,547,334,334,331,231,334,213,213,213,208,143,4562,5543,2749,5540,5528,5471,3145,2749,2746,2686,1258,2749,5543,9200,9393,9421,9459,24304,6240,19328,20718,21230,6767,21954,23664,24397,Bladen,1132,1119,1043,159,1167,8289,8274,8157,4403,6728,4758,31131,6457,4615,6805,5570,783,4787,3978,474,26077,7459,32722,28574,BLADEN COUNTY,8292,4327,782,4739,4654,4738,12853,12838,12553,5202,12057,4105,4503,4503,4425,735,11678,11932,11940,5031,11245
ANSON COUNTY,331,331,194,329,331,237,237,237,148,237,94,94,94,92,46,2740,4478,1470,4477,4463,4421,2144,1470,1470,1433,596,1470,4478,5864,5943,5957,5979,12441,3852,10940,11380,11635,3997,11726,12202,12509,Anson,10,10,10,0,31,5947,5933,5854,2740,172,102,23143,172,102,228,172,100,137,102,75,19608,4730,24446,21306,ANSON COUNTY,5948,2751,477,3105,3063,3104,9176,9165,8967,3420,8803,2511,2841,2840,2805,428,8473,8654,8657,3349,8327
