OBJECTID,loc_vfc_pin,OrganizationName,LocationName,VaccineAdministrationStreetAddr,VaccineAdministrationCity,VaccineAdministrationCounty,VaccineAdministrationState,VaccineAdministrationZipCode,StatusforLocation,ProviderType,Id,X,Y,UpdateDTS
902,50C002,DaVita,Sylva Dialysis,655 Asheville Highway,Sylva,Jackson,North Carolina,28779,Approved,Other,,-83.2058028747916,35.3817993433836,202105041931
1477,50C004,"A to Z Drugs, Inc.",Cashiers Valley Pharmacy,52 Cashiers Shopping Center,Cashiers,Jackson,North Carolina,28717,Approved,Pharmacy : independent,,-83.0877010249309,35.1202879833718,202105041931
1520,50C007,"Ingles Markets, Inc",Ingles Pharmacy #110,230 US Hwy 64,Cashiers,Jackson,North Carolina,28717,Approved,Pharmacy : chain,,-83.0967167058991,35.1149213769193,202105041931
1549,780019,Logistics Health Incorporated,UNC Pembroke,1 University Way,Cullowhe,Jackson,North Carolina,28723,Approved,Commercial vaccination service provider,,-83.1914394764225,35.3125164015114,202105041931
1571,50C005,"Vecinos, Inc.","Vecinos, Inc.",3971 Little Savannah Rd,Cullowhee,Jackson,North Carolina,28723,Approved,Health center : migrant or refugee,,-83.2032059891853,35.3042353920554,202105041931
1593,50C008,Kel-Save Drugs,Kel-save Drugs,38 E. Main St.,Sylva,Jackson,North Carolina,28779,Approved,Pharmacy : independent,,-83.2128001176913,35.3742941163376,202105041931
1601,50C003,Western Carolina University Health Services,WCU Health and Human Services Vaccination Site,194 WCU Health and Human Sciences,Cullowhee,Jackson,North Carolina,28723,Approved,Other,,-83.2030685398965,35.3043734656856,202105041931
1729,50C010,"LaMond Family Medicine, PLLC",Blue Sky MD Health-Sylva,111 Central St,Sylva,Jackson,North Carolina,28770,Approved,Medical practice : family medicine,,-83.2260196175372,35.3756659965904,202105041931
1731,50C009,Bryson City Pharmacy,Cherokee Pharmacy,664 Cherokee Crossing,Whittier,Jackson,North Carolina,28789,Approved,Pharmacy : independent,,-83.3225864912078,35.4122250013643,202105041931
1993,500004,"Sylva Family Practice, PA","Sylva Family Practice, PA",430 Fisher Creek Road,Sylva,Jackson,North Carolina,28779,Rejected,Medical practice : family medicine,,-83.1957147520334,35.3994024021783,202105041931
2090,50C011,"Mountain Park Urgent Care & Walk-in Clinic, Pllc",Mountain Park Urgent Care & Walk-in Clinic,90 E MAIN ST STE 2,SYLVA,Jackson,North Carolina,28779,Approved,Urgent care,,-83.2121976218479,35.3735698463454,202105041931
2092,50C006,Wellpath,Jackson County Detention Center,399 Grindstaff Cove Rd,Sylva,Jackson,North Carolina,28779,Rejected,Corrections/detention health services,,-83.2233278160172,35.3797754465278,202105041931
2200,78C021,Logistics Health Incorporated,UNC Pembroke,1 University Way,Cullowhe,Jackson,North Carolina,28723,Approved,Commercial vaccination service provider,,-83.1914394764225,35.3125164015114,202105041931
2201,"",Logistics Health Incorporated,Western Carolina University,1 University Way,Cullowhee,Jackson,North Carolina,28723,Deactivated,Commercial vaccination service provider,,-83.1914394764225,35.3125164015114,202105041931
2861,,Walgreens,Walgreens,19 SAWMILL VILLAGE LN,FRANKLIN,Jackson,North Carolina,28734,,Pharmacy : chain,a2At0000002W6aCEAS,-83.3908549851167,35.1634881530385,202105041931
2866,,WM1,WAL-MART PHARMACY,210 WAL-MART PLAZA,SYLVA,Jackson,North Carolina,28779,,Pharmacy : chain,a2At0000001e3c6EAA,-83.204014974793,35.3612361204773,202105041931
3026,,CVS Health,7521,480 Old Highway 64 West Highway,Hayesville,Jackson,North Carolina,28904,,Pharmacy : chain,a2At0000002VfxBEAS,-83.8392933243063,35.0310776824971,202105041931
148,510001,Johnston County Public Health Department,Johnston County Public Health Department,517 N. Brightleaf Blvd,Smithfield,Johnston,North Carolina,27577,Approved,Public health provider : public health clinic,,-78.334729611683,35.5128624405856,202105041931
149,510009,Johnston Health Services Corporation d.b.a. Johnston Health,Johnston Health Services Corporation d.b.a. Johnston Health,509 N. Brightleaf Blvd.,Smithfield,Johnston,North Carolina,27577,Approved,Hospital,,-78.3349463890496,35.5127897837503,202105041931
272,510002,Benson Area Medical Center,Benson Health,3333 NC Hwy 242 N.,Benson,Johnston,North Carolina,27504,Approved,Public health provider : Rural Health Clinic,,-78.5362924212461,35.419205015265,202105041931
286,51C002,"Realo Discount Drug Stores of Johnston County, Inc.","Realo Discount Drug Stores of Johnston County, Inc.",601 N 8th St,Smithfield,Johnston,North Carolina,27577,Approved,Pharmacy : independent,,-78.3357656489822,35.5149579209271,202105041931
356,510028,CommWell Health,CommWell Health of McGees Crossroads,70 Crape Myrtle Drive,Benson,Johnston,North Carolina,27504,Approved,Public health provider : Federally Qualified Health Center,,-78.555032267959,35.5175479758866,202105041931
454,510025,"Sunshine Pediatrics, PA",Sunshine Pediatrics,1519 E. Booker Dairy Rd.,Smithfield,Johnston,North Carolina,27577,Approved,Medical practice : pediatrics,,-78.3156312238014,35.5247290095544,202105041931
475,51C024,Walgreen Co.,Walgreen Co. #07801,11306 US 70 BUSINESS HWY W,CLAYTON,Johnston,North Carolina,27520,Approved,Pharmacy : chain,,-78.4693136192835,35.6500432706404,202105041931
499,51C006,"BIO-MEDICAL APPLICATIONS OF NORTH CAROLINA, INC. DBA FRESENIUS KIDNEY CARE",FRESENIUS KIDNEY CARE EAST JOHNSTON,67 JR Road,Selma,Johnston,North Carolina,27576,Approved,Other,,-78.2872433880018,35.5178508827538,202105041931
523,510024,"Raleigh Durham Medical Group, PA",Horizon Family Medicine Clayton,236 Butternut Lane,Clayton,Johnston,North Carolina,27520,Approved,Medical practice : family medicine,,-78.485652202659,35.6374265562915,202105041931
588,NS1727,Publix Super Market,Publix Pharmacy #1727,24 Publix Drive,Clayton,Johnston,North Carolina,27527,Approved,Pharmacy : chain,,-78.3518013074307,35.6523053903442,202105041931
618,51C005,"Biomedical Applications of North Carolina Inc,d/b/a Fresenius Kidney Care","Biomedical Application of North Carolina, Inc d/b/a Fresenius Medical Care Stallings Station",5420 Barber Mill Rd,Clayton,Johnston,North Carolina,27520,Approved,Other,,-78.4737167287661,35.638230840592,202105041931
715,510011,"Raleigh Durham Medical Group, PA",Horizon Family Medicine Smithfield,410 Canterbury Road,Smithfield,Johnston,North Carolina,27577,Approved,Medical practice : family medicine,,-78.3210027000288,35.5174185748556,202105041931
724,510012,"Raleigh Durham Medical Group, PA",Horizon Family Medicine Four Oaks,864 Black Creek Road,Four Oaks,Johnston,North Carolina,27524,Approved,Medical practice : family medicine,,-78.4378153839805,35.4519469557039,202105041931
725,NS0229,The Kroger Co.,HARRIS TEETER PHARMACY 09700229,67    FLOWERS-CROSSROADS WAY,Clayton,Johnston,North Carolina,27527,Approved,Pharmacy : chain,,-78.3471688562451,35.6558638452982,202105041931
728,510027,"Raleigh Durham Medical Group, PA",Horizon Family Medicine  Riverwood,100 Cunningham Lane,Clayton,Johnston,North Carolina,27527,Approved,Medical practice : family medicine,,-78.4272252799924,35.6893269276242,202105041931
793,51C003,"Biomedical Applications of North Carolina Inc,d/b/a Fresenius Kidney Care","Biomedical Applications of North Carolina, Inc d/b/a BMA of Johnston County",545 E Market Street,Smithfield,Johnston,North Carolina,27577,Approved,Other,,-78.3425914431988,35.5097846484372,202105041931
804,51C004,"Biomedical Applications of North Carolina Inc,d/b/a Fresenius Kidney Care","Biomedical Applications of North Carolina Inc, d/b/a Fresenius Medical Care of Four Oaks",5815 US highway 301 S,Four Oaks,Johnston,North Carolina,27524,Approved,Other,,-78.4179229414122,35.4480735762558,202105041931
875,51C021,BHW LLC dba We Care Home Care,BHW LLC Office,102 N Market Street,Benson,Johnston,North Carolina,27504,Approved,Home health care provider,,-78.546720600935,35.3808023760188,202105041931
966,51C010,Carlie C's Benson,Carlie C's Benson,604 South Wall Street,Benson,Johnston,North Carolina,27504,Approved,Pharmacy : independent,,-78.5536339749432,35.3778812007682,202105041931
970,51C014,"Johnston Family Medicine, P.A.","Johnston Family Medicine, PA",713 Wilkins Street,Smithfield,Johnston,North Carolina,27577,Approved,Medical practice : family medicine,,-78.3369905253199,35.5145405947208,202105041931
988,51C022,Beddingfield Drugs LLC,Beddingfield Drugs,95 Springbrook Ave,Clayton,Johnston,North Carolina,27520,Approved,Pharmacy : independent,,-78.5062195732228,35.6283123698701,202105041931
1002,51C017,"Kenly Drug & Pharmacy, Inc.","Kenly Drug & Pharmacy, Inc.",104 East Second Street,Kenly,Johnston,North Carolina,27542,Approved,Pharmacy : independent,,-78.1225608736867,35.5935764882737,202105041931
1064,51C011,Eastern Carolina Medical Center Pharmacy,Eastern Carolina Medical Center Pharmacy,1 Medical Drive,Benson,Johnston,North Carolina,27504,Approved,Pharmacy : independent,,-78.5432831510231,35.3896572535248,202105041931
1170,51C019,"HealthSmart Pharmacy of Clayton, LLC DBA HealthSmart Pharmacy",HealthSmart Pharmacy-Benson,"70 Crape Myrtle Drive, Suite 103",Benson,Johnston,North Carolina,27504,Approved,Pharmacy : independent,,-78.555032267959,35.5175479758866,202105041931
1175,51C018,"HealthSmart Pharmacy of Clayton, LLC DBA HealthSmart Pharmacy",HealthSmart Pharmacy-Clayton,9197 Cleveland Road,Clayton,Johnston,North Carolina,27520,Approved,Pharmacy : independent,,-78.5330449913721,35.5691047257183,202105041931
1190,51C012,"Realo Discount Drug Stores of ENC, Inc",Realo Discount Drugs- 322 Pritchard Rd Clayton,322 Pritchard Rd Clayton,clayton,Johnston,North Carolina,27527,Approved,Pharmacy : independent,,-78.4192151505027,35.6950161976484,202105041931
1333,51C007,"UNC Physicians Network, LLC",UNC Specialty Care at Clayton,2076 NC Highway 42 W.,Clayton,Johnston,North Carolina,27520,Approved,Medical practice : other specialty,,-78.50238677698,35.6293473937156,202105041931
1336,51C008,"UNC Physicians Network, LLC",UNC Primary Care at Smithfield,514 N. Brightleaf Blvd,Smithfield,Johnston,North Carolina,27577,Approved,Medical practice : family medicine,,-78.3348311738611,35.5127846562379,202105041931
1422,51C025,Med First Primary and Urgent Care,Med First Smithfield,388 Venture Drive,Smithfield,Johnston,North Carolina,27577,Approved,Medical practice : family medicine,,-78.3187039945023,35.5102014834822,202105041931
1443,510022,"Jeffers, Mann & Artman Pediatrics","Jeffers, Mann and Artman Pediatrics Clayton",104 MedSpring Drive Suite 100,Clayton,Johnston,North Carolina,27520,Approved,Medical practice : pediatrics,,-78.5067999934882,35.6281941106785,202105041931
1451,51C009,Morganstreet pharmacy llc,clayton pharmacy,11391 u s hwy 70 west,clayton,Johnston,North Carolina,27520,Approved,Pharmacy : independent,,-78.4705724625951,35.6511530209557,202105041931
1476,51C015,Grifols Therapeutics LLC,Clayton Plant,8368 US-70 BUS Highway West,Clayton,Johnston,North Carolina,27520,Approved,Other,,-78.4187672887941,35.6205296955507,202105041931
1482,51C023,"JORDAN & GUIRGUIS, INC",PARKER PHARMACY,5829 US HWY 301 S,FOUR OAKS,Johnston,North Carolina,27524,Approved,Pharmacy : independent,,-78.4189329457821,35.4476722492876,202105041931
1492,51C013,Carroll Pharmacy,Carroll Pharmacy,840 S. Brightleaf Blvd,Smithfield,Johnston,North Carolina,27577,Approved,Pharmacy : independent,,-78.3511693083969,35.5000693251784,202105041931
1580,51C020,Kenly Medical Associates,Kenly Medical Associates,101 E 2nd Street,Kenly,Johnston,North Carolina,27542,Approved,Medical practice : internal medicine,,-78.1234033689468,35.5937237127496,202105041931
1633,51C028,Riccobene Associates Family Dentistry,Riccobene - Selma,1111 South Pollock St,Selma,Johnston,North Carolina,27576,Approved,Other,,-78.2942432380485,35.5276716176321,202105041931
1635,51C026,Riccobene Associates Family Dentistry,Riccobene - Garner,5638 NC-42 Ste 214,Garner,Johnston,North Carolina,27529,Approved,Other,,-78.5698943350387,35.6044402432088,202105041931
1713,51C027,Riccobene Associates Family Dentistry,Riccobene - Clayton,31 Oleander Drive,Clayton,Johnston,North Carolina,27527,Approved,Other,,-78.3963324925003,35.6482912414913,202105041931
1741,51C030,Logistics Health Incorporated,Raddison Farmworkers Johnston County,25 N Equity Dr,Smithfield,Johnston,North Carolina,27577,Submitted (Ready for Internal Review),Commercial vaccination service provider,,-78.3220609723907,35.5057948545431,202105041931
1755,51C016,Avance Care,Avance Care Clayton,"2076 North Carolina NC-42 W, Suite 230",Clayton,Johnston,North Carolina,27520,Approved,Other,,-78.502251052666,35.6294639881313,202105041931
1883,51C029,"Food Lion, LLC",Food Lion Pharmacy #1685,50 Neuse River Parkway Ste. 11,Clayton,Johnston,North Carolina,27527,Submitted (Ready for Internal Review),Pharmacy : chain,,-78.3958572417929,35.6486947886163,202105041931
1950,"",CommWell Health,CommWell Health of Smithfield,507 North Brightleaf Boulevard,Smithfield,Johnston,North Carolina,27577,Rejected,Public health provider : Federally Qualified Health Center,,-78.3350178189715,35.5127361431237,202105041931
1954,"",CommWell Health,CommWell Health of McGees Crossroads,"70 Crape Myrtle Drive, Suite 104",Benson,Johnston,North Carolina,27504,Deactivated,Public health provider : Federally Qualified Health Center,,-78.555032267959,35.5175479758866,202105041931
2079,"",Carlie C's Benson,DUPLICATE LOCATION Carlie C's Benson,604 South Wall Street,Benson,Johnston,North Carolina,27504,Deactivated,Pharmacy : independent,,-78.5536339749432,35.3778812007682,202105041931
2081,"",Carlie C's Benson,DUPLICATE LOCATION Carlie C's Benson,604 South Wall Street,Benson,Johnston,North Carolina,27504,Deactivated,Pharmacy : independent,,-78.5536339749432,35.3778812007682,202105041931
2103,"",DILLARD AND ASSOCIATES,Healthsmart Pharmacy,70 crape myrtle drive,benson,Johnston,North Carolina,27504,New (Vaccine Coordinator In Progress),Pharmacy : independent,,-78.555032267959,35.5175479758866,202105041931
2357,,CVS Health,7523,1040 ALAMANCE CHURCH RD,GREENSBORO,Johnston,North Carolina,27406,,Pharmacy : chain,a2At0000002XQIbEAO,-79.7713856201953,36.0414908470298,202105041931
2398,,WM1,WAL-MART PHARMACY,805 TOWN CENTER BOULEVARD,CLAYTON,Johnston,North Carolina,27520,,Pharmacy : chain,a2At0000001e3ZEEAY,-78.4967184891277,35.6634689763947,202105041931
2404,,Walgreens,Walgreens,1401 N MAIN ST,FUQUAY VARINA,Johnston,North Carolina,27526,,Pharmacy : chain,a2At0000002WB54EAG,-78.7733839570117,35.5932649386901,202105041931
2410,,Walgreens,Walgreens,11306 US 70 BUSINESS HWY W,CLAYTON,Johnston,North Carolina,27520,,Pharmacy : chain,a2At0000002WNkLEAW,-78.4690449141078,35.6500133984448,202105041931
2424,,Walgreens,Walgreens,1116 US 70 HWY W,GARNER,Johnston,North Carolina,27529,,Pharmacy : chain,a2At0000002W9IxEAK,-78.6363878021618,35.7180991637931,202105041931
2436,,WM1,WAL-MART PHARMACY,1001 SHILOH GLENN DR.,MORRISVILLE,Johnston,North Carolina,27560,,Pharmacy : chain,a2At0000001eQQJEA2,-78.8461073609704,35.8658573806602,202105041931
2441,,Walgreens,Walgreens,424 N BRIGHTLEAF BLVD,SMITHFIELD,Johnston,North Carolina,27577,,Pharmacy : chain,a2At0000002WZwJEAW,-78.3352825890376,35.5126237573798,202105041931
2446,,WM1,WAL-MART PHARMACY,1299 BRIGHT LEAF BLVD.,SMITHFIELD,Johnston,North Carolina,27577,,Pharmacy : chain,a2At0000001e2qQEAQ,-78.31111986499,35.5199389819034,202105041931
2449,,WM1,WAL-MART PHARMACY,841 EAST GANNON AVE,ZEBULON,Johnston,North Carolina,27597,,Pharmacy : chain,a2At0000001eQXhEAM,-78.2973064915332,35.8317468249087,202105041931
107,52C001,"Pill Caddy, Inc",Realo Discount Drugs,155 West Jones Street,Trenton,Jones,North Carolina,28585,Approved,Pharmacy : independent,,-78.4192563811762,35.6950135126978,202105041931
150,520001,Jones County Health Department,Jones County Health Department,418 Hwy 58 North,Trenton,Jones,North Carolina,28585,Approved,Public health provider : public health clinic,,-77.3631293379614,35.0680536550235,202105041931
455,52C002,"Bio-Medical Services of NC, Inc d/b/a FMC Dialysis Services of Kinston Dialysis",Jones County Dialysis,110 Industrial Park Drive,Trenton,Jones,North Carolina,28585,Approved,Other,,-77.3659834901409,35.0683320141274,202105041931
1461,52C003,CarolinaEast Medical Center,CarolinaEast Internal Medicine- Pollocksville,137 Medical Lane,Pollocksville,Jones,North Carolina,28573,Approved,Medical practice : internal medicine,,-77.2267516933898,34.9996617129821,202105041931
2126,520003,Coastal Children's Clinic Inc,Coastal Children's Clinic Maysville,1004 Jenkins Avenue,Maysville,Jones,North Carolina,28555,Approved,Medical practice : pediatrics,,-77.2332705082193,34.898678622129,202105041931
228,530001,Lee County Health Department,Lee County Health Department,106 Hillcrest Drive,Sanford,Lee,North Carolina,27330,Approved,Public health provider : Federally Qualified Health Center,,-79.1851154049504,35.4778712904671,202105041931
403,530003,"DLP Central Carolina Hospital, LLC","DLP Central Carolina Hospital, LLC",1135 Carthage Street,Sanford,Lee,North Carolina,27330,Approved,Hospital,,-79.1870465850952,35.4685651551052,202105041931
654,530008,"PINEHURST MEDICAL CLINIC, INC.",Sanford Medical Group,555 Carthage St,Sanford,Lee,North Carolina,27330,Approved,Medical practice : internal medicine,,-79.1848294490717,35.4769448007091,202105041931
850,53C002,Carolina Dialysis Lee County,Carolina Dialysis Lee County,115 Wilson Road,Sanford,Lee,North Carolina,27332,Approved,Other,,-79.1329487054997,35.4464989597576,202105041931
897,53C001,Community Care Health Network DBA Matrix Medical Network,Tyson Sanford Plant,800 E MAIN ST,SANFORD,Lee,North Carolina,27332,Approved,Commercial vaccination service provider,,-79.1398369804981,35.4601008993552,202105041931
1010,53C003,Carolina Dialysis Lee County,Carolina Dialysis Sanford,1922 KM Wicker Memorial Drive,Sanford,Lee,North Carolina,27330,Approved,Other,,-79.1905595523548,35.4693525787046,202105041931
1105,53C005,Vaishno-Devi LLC DBA Sanford Pharmacy,Sanford Pharmacy,1720 S Horner Blvd,Sanford,Lee,North Carolina,27330,Approved,Pharmacy : independent,,-79.1594307890415,35.4655866707951,202105041931
1343,53C004,ID Care® - Infectious Diseases Specialty Practice & Infusion Center,ID Care®,821 South Horner Boulevard,Sanford,Lee,North Carolina,27330,Approved,Medical practice : other specialty,,-79.1713977517513,35.4710668782037,202105041931
1676,53C006,SANFORD CHEMISTS INC.,MEDICINE PARK PHARMACY,100 PARK AVE,SANFORD,Lee,North Carolina,27330,Approved,Pharmacy : independent,,-79.1877743725864,35.475483593653,202105041931
1823,53C008,"CVS Pharmacy, Inc",CVS/pharmacy #7329,1802 South Horner Blvd,Sanford,Lee,North Carolina,27330,Submitted (Ready for Internal Review),Pharmacy : chain,,-79.157589870738,35.4650837816143,202105041931
2015,"","PINEHURST MEDICAL CLINIC, INC.",DUPLICATE Sanford Medical Group,555 Carthage St,Sanford,Lee,North Carolina,27330,Deactivated,Medical practice : internal medicine,,-79.1848294490717,35.4769448007091,202105041931
2030,"","INTEGRATED DERMATOLOGY OF SANFORD, PLLC",SANFORD,827 S HORNER BLVD,SANFORD,Lee,North Carolina,27330,Rejected,Medical practice : other specialty,,-79.1705923326934,35.4710548793971,202105041931
2033,"",Central Dermatology Center,Central Dermatology Center - Sanford,1210 Central Dr,Sanford,Lee,North Carolina,27330,Rejected,Medical practice : other specialty,,-79.1867734642358,35.4677180257222,202105041931
2214,53C007,"Food Lion, LLC",Food Lion Pharmacy #2188,1655 Buffalo Lake Road,Sanford,Lee,North Carolina,27332,Approved,Pharmacy : chain,,-79.0408835932168,35.3120278859181,202105041931
2342,,Walgreens,Walgreens,2286 JEFFERSON DAVIS HWY,SANFORD,Lee,North Carolina,27330,,Pharmacy : chain,a2At0000002W7IOEA0,-79.2196713066699,35.4372859671376,202105041931
2352,,Walgreens,Walgreens,1050 S HORNER BLVD,SANFORD,Lee,North Carolina,27330,,Pharmacy : chain,a2At0000002WC4LEAW,-79.1676467581923,35.469793997964,202105041931
2408,,CVS Health,7039,2994 KILDAIRE FARM RD,CARY,Lee,North Carolina,27518,,Pharmacy : chain,a2At0000002VfBuEAK,-78.7884093891539,35.7170868892513,202105041931
2750,,Walgreens,Walgreens,610 S BENNETT ST,SOUTHERN PINES,Lee,North Carolina,28387,,Pharmacy : chain,a2At0000002W5zvEAC,-79.4003521501536,35.1705507781086,202105041931
2919,,CVS Health,7039,4334 Lee Avenue Extension,Sanford,Lee,North Carolina,27330,,Pharmacy : chain,a2At0000002W0lKEAS,-79.1456499222093,35.4194547735242,202105041931
2987,,WM1,WALMART DC #6040,1057 SANDHILL ROAD,HOPE MILLS,Lee,North Carolina,28348,,Pharmacy : chain,a2At0000001e5EuEAI,-78.8989462143285,34.9357096960861,202105041931
100,54C010,"CORE, LLC",CORE @ Sanderson Farms Kinston,2081 Sanderson Way,Kinston,Lenoir,North Carolina,28504,Approved,Health center : occupational,,-77.6679233678294,35.2582180706346,202105041931
130,54C003,"Pharm-Save, Inc d/b/a Neil Medical Group-Kinston",Neil Medical Group-Kinston,2545 Jetport Rd,Kinston,Lenoir,North Carolina,28504,Approved,Pharmacy : independent,,-77.607313553871,35.322139757401,202105041931
152,540006,Kinston Community Health Center,Kinston Community Health Center,324 N Queen Street,Kinston,Lenoir,North Carolina,28501,Approved,Public health provider : Federally Qualified Health Center,,-77.5815993220629,35.2632619899248,202105041931
203,54C002,"Eastern Carolina Pharmacy Care, Inc",Realo Discount Drug,300 N Queen St,Kinston,Lenoir,North Carolina,28501,Approved,Pharmacy : independent,,-77.5809983916578,35.257296182561,202105041931
218,540010,UNC Lenoir Health Care,UNC Lenoir Health Care,100 Airport Road,Kinston,Lenoir,North Carolina,28501,Approved,Hospital,,-77.5830708134476,35.2905272342431,202105041931
229,540001,Lenoir County Health Department,Lenoir County Health Department,201 N. McLewean Street,Kinston,Lenoir,North Carolina,28501,Approved,Public health provider : public health clinic,,-77.5792340090153,35.2620128934418,202105041931
389,54C001,Caswell Developmental Center,Caswell Developmental Center,2415 W. Vernon Avenue,Kinston,Lenoir,North Carolina,28504,Approved,Long-term care : intellectual or developmental disability,,-77.6149797547807,35.2694820380264,202105041931
479,54C004,Guardian Pharmacy of Eastern NC dba Southern Pharmacy Services,Southern Pharmacy Services - Pink Hill,4459 Tar Heel Dr.,Pink Hill,Lenoir,North Carolina,28572,Approved,Pharmacy : independent,,-77.7352186206154,35.0670614228616,202105041931
538,54C005,"Bio-Medical Services of NC, Inc d/b/a FMC Dialysis Services of Kinston Dialysis",BMA Kinston Dialysis,601 Airport Road,Kinston,Lenoir,North Carolina,28504,Approved,Other,,-77.5910913807843,35.3079413383649,202105041931
872,54C007,Vidant Medical Group,Vidant Internal Medicine - Kinston,701 Doctors Drive Suite N,Kinston,Lenoir,North Carolina,28501,Approved,Hospital,,-77.5869099510785,35.2914499404299,202105041931
932,54C011,"Kinston Clinic Pharmacy, Inc","Dempsey's Long Term Care, LLC","701 Doctor's Drive, Suite P-2",Kinston,Lenoir,North Carolina,28501,Approved,Pharmacy : independent,,-77.5869099510785,35.2914499404299,202105041931
997,54C014,"Kinston Clinic Pharmacy, Inc",Dempsey’s Drugs Jackson Heights,2717 HWY  11/55,Kinston,Lenoir,North Carolina,28504,Approved,Pharmacy : independent,,-77.6428022001299,35.2234420140215,202105041931
998,54C015,"Kinston Clinic Pharmacy, Inc",Dempsey’s Drugs La Grange,603 East Washington Street,LaGrange,Lenoir,North Carolina,28551,Approved,Pharmacy : independent,,-77.7780296775642,35.3013000864061,202105041931
999,54C012,"Kinston Clinic Pharmacy, Inc",Kinston Clinic Pharmacy,701 Doctors Drive,Kinston,Lenoir,North Carolina,28501,Approved,Pharmacy : independent,,-77.5869099510785,35.2914499404299,202105041931
1224,54C009,Community Care Health Network DBA Matrix Medical Network,Smithfield Kinston Plant,1780 Smithfield Way,Kinston,Lenoir,North Carolina,28504,Approved,Commercial vaccination service provider,,-77.6585561625898,35.2694465017098,202105041931
1324,54C008,"UNC Physicians Network, LLC","204 Airport Road, Kinston",204 Airport Road,Kinston,Lenoir,North Carolina,28504,Approved,Medical practice : other specialty,,-77.5858646900867,35.2937886612316,202105041931
1612,54C016,"PruittHealth, Inc.",North Carolina State Veterans Home - Kinston,2150 Hull Road,Kinston,Lenoir,North Carolina,28504,Approved,"Long-term care : nursing home, skilled nursing facility, federally certified",,-77.6232732521068,35.2835896142661,202105041931
1616,54C013,Family Medicine and Rehabilitation Center,FMRC Kinston,2601 N HERITAGE ST,KINSTON,Lenoir,North Carolina,28501,Approved,Medical practice : family medicine,,-77.5875331509448,35.2895456194239,202105041931
1871,54C018,Winsor Dialysis Center,"DEACTIVATED Bio-Medical Services of NC, Inc d/b/a FMC Dialysis Services of Vernon Dialysis Center",3101 West New Bern Ave,Kinston,Lenoir,North Carolina,28504,Deactivated,Other,,-77.6280823148153,35.2658119886097,202105041931
1984,"",Lenoir County Health Department,Lenoir County Health Department,201 North McLewean Street,Kinston,Lenoir,North Carolina,28501,Deactivated,Public health provider : public health clinic,,-77.5792340090153,35.2620128934418,202105041931
2009,54C006,Winsor Dialysis Center,"Bio-Medical Services of NC, Inc d/b/a FMC Dialysis Services of Vernon Dialysis Center",3101 W. New Bern Ave,Kinston,Lenoir,North Carolina,28504,Approved,Other,,-77.6280823148153,35.2658119886097,202105041931
2095,"",FMC Vernon Dialysis Unit,FMC Vernon Dialysis Unit,3101 W. Newbern Road,kinston,Lenoir,North Carolina,28504,New (Vaccine Coordinator In Progress),Medical practice : other specialty,,-77.6280823148153,35.2658119886097,202105041931
2217,54C017,"Food Lion, LLC",Food Lion Pharmacy #2580,301 East Washington Street,LaGrange,Lenoir,North Carolina,28551,Submitted (Ready for Internal Review),Pharmacy : chain,,-77.7826695775807,35.303575141376,202105041931
2527,,CVS Health,3385,704 S MEMORIAL DR,GREENVILLE,Lenoir,North Carolina,27834,,Pharmacy : chain,a2At0000002YzVpEAK,-77.3954426752094,35.6066238467175,202105041931
2778,,WM1,WAL-MART PHARMACY,4101 WEST VERNON AVE.,KINSTON,Lenoir,North Carolina,28504,,Pharmacy : chain,a2At0000001e3sQEAQ,-77.6467688010769,35.264512943865,202105041931
3000,,Walgreens,Walgreens,915 SE SECOND ST,SNOW HILL,Lenoir,North Carolina,28580,,Pharmacy : chain,a2At0000002Wnm3EAC,-77.6631863280975,35.4439959529368,202105041931
106,55C005,"Keever Pharmacy, LLC",Keever Pharmacy,1814 E Main St,Lincolnton,Lincoln,North Carolina,28092,Approved,Pharmacy : independent,,-81.2275360735563,35.4779220234117,202105041931
118,550012,The Charlotte-Mecklenburg Hospital Authority,Lincoln Family Practice,447 McAlister Road,Lincolnton,Lincoln,North Carolina,28092,Approved,Medical practice : pediatrics,,-81.2016102005727,35.4904795890626,202105041931
224,55C003,Kintegra Health,KIntegra Family Medicine - Lincolnton,212 Gamble Drive,Lincolnton,Lincoln,North Carolina,28092,Approved,Public health provider : Federally Qualified Health Center,,-81.2353427654942,35.4704034422835,202105041931
232,550001,Lincoln County Health Department,Lincoln County Health Department,200 Gamble Dr,Lincolnton,Lincoln,North Carolina,28092,Approved,Public health provider : public health clinic,,-81.2356059754662,35.4710342028052,202105041931
423,55C001,The Charlotte-Mecklenburg Hospital Authority,The Charlotte-Mecklenburg Hospital Authority d/b/a Atrium Health Lincoln,433 McAlister Road,Lincolnton,Lincoln,North Carolina,28092,Approved,Hospital,,-80.9192923877386,35.2248430613232,202105041931
577,NS1603,Publix Super Market,Publix Pharmacy #1603,513 Brentwood Rd,Denver,Lincoln,North Carolina,28037,Approved,Pharmacy : chain,,-80.9933967533546,35.4489035874319,202105041931
791,55C002,"Bio Medical Applications of North Carolina, INC . dba  BMA Kings Mountain",Fresenius Medical Care Lincolnton,1090 South Grove Street Extension,Lincolnton,Lincoln,North Carolina,28092,Approved,Other,,-81.2688760565217,35.444576333813,202105041931
